Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
235,127,56,55.0
217,173,55,54.0
270,162,52,51.0
277,238,60,59.0
204,146,53,52.0
251,198,56,55.0
311,210,53,52.0
283,228,62,61.0
177,137,52,51.0
314,194,55,54.0
254,194,59,58.0
276,172,57,56.0
157,122,52,51.0
261,209,53,52.0
229,177,58,57.0
267,163,55,54.0
254,204,53,52.0
295,260,58,57.0
263,218,56,55.0
185,149,53,52.0
189,142,52,51.0
191,112,57,56.0
287,189,56,55.0
304,222,62,61.0
291,233,53,52.0
210,123,51,50.0
308,228,56,55.0
229,152,57,56.0
228,178,55,54.0
183,162,53,52.0
218,185,59,58.0
224,191,52,51.0
182,157,53,52.0
287,212,61,60.0
172,128,54,53.0
208,188,52,51.0
178,145,57,55.99999999999999
252,191,58,57.0
324,231,57,56.0
270,208,57,56.0
158,133,53,52.0
238,193,56,55.0
369,270,63,62.0
235,174,51,50.0
159,114,50,49.0
234,197,53,52.0
211,171,57,56.0
294,207,55,54.0
245,213,54,53.0
213,170,54,53.0
202,184,57,56.0
248,158,55,54.0
286,235,58,56.99999999999999
191,144,51,49.99999999999999
238,200,54,53.0
254,182,56,55.0
381,256,67,66.0
266,208,53,52.0
353,292,56,55.0
165,123,50,49.0
296,226,52,50.99999999999999
178,154,54,53.0
331,240,53,52.0
299,219,55,54.0
323,241,59,58.0
185,160,54,53.0
357,298,54,53.0
219,170,52,51.0
201,163,55,54.0
274,187,53,52.0
261,183,57,56.0
188,163,54,53.0
308,215,57,56.0
204,159,53,52.0
154,132,56,54.99999999999999
373,202,60,59.0
224,151,51,50.0
252,197,53,52.0
162,140,52,51.0
264,167,57,56.0
280,194,56,54.999999999999986
381,287,59,58.0
279,180,55,54.0
297,220,52,51.0
247,183,58,57.0
257,212,58,57.0
304,231,52,50.99999999999999
223,179,54,53.0
278,219,51,50.0
298,238,62,61.0
255,207,55,54.0
392,311,61,60.0
257,213,56,55.0
247,175,58,57.0
216,155,57,56.0
291,179,57,56.0
211,173,53,52.0
309,206,56,55.0
147,83,53,52.0
210,155,54,53.0
161,138,56,55.0
163,125,57,56.0
287,157,54,53.0
158,123,51,50.0
268,197,55,54.0
197,148,52,51.0
246,165,62,61.0
219,164,53,52.0
201,174,54,53.0
252,206,53,52.0
191,156,52,51.0
316,239,51,50.0
271,208,53,52.0
326,251,54,53.0
242,169,57,56.0
257,190,55,54.0
220,163,50,49.0
228,178,53,52.0
354,289,61,60.0
182,125,51,50.0
210,169,52,51.0
319,221,59,58.0
141,113,56,55.0
214,146,53,52.0
260,193,56,55.0
246,202,51,50.0
264,149,57,56.0
181,126,54,53.0
394,331,58,57.0
208,157,54,53.0
284,227,58,57.0
248,193,54,53.0
379,309,59,57.99999999999999
293,222,52,51.0
214,186,57,56.0
315,247,54,53.0
221,174,54,53.0
184,143,55,54.0
411,307,56,55.0
190,148,52,51.0
372,268,57,55.99999999999999
311,241,57,56.0
334,250,60,59.0
237,185,52,51.0
163,130,51,50.0
292,245,55,53.99999999999999
210,159,55,54.0
272,188,55,54.0
223,193,50,49.0
198,162,50,49.0
215,180,55,54.0
215,133,54,53.0
237,180,53,52.0
134,109,54,53.0
327,262,57,56.0
261,207,59,58.0
293,228,57,56.0
245,207,54,53.0
217,178,59,58.0
370,294,53,52.0
330,251,50,49.0
162,132,54,53.0
301,232,56,55.0
240,166,56,55.0
210,167,50,49.0
196,118,55,54.0
213,192,50,49.0
368,191,57,56.0
214,172,51,50.0
190,145,52,51.0
253,184,54,53.0
162,129,53,51.99999999999999
215,162,54,53.0
235,148,57,56.0
317,230,59,58.0
236,152,52,51.0
204,161,51,50.0
293,175,53,52.0
396,260,61,60.0
282,171,62,61.0
328,211,55,54.0
221,188,53,52.0
286,235,57,56.0
214,135,54,52.99999999999999
228,192,52,51.0
191,170,56,55.0
169,141,55,54.0
244,207,54,53.0
295,218,62,61.0
252,165,53,52.0
262,197,57,56.0
137,118,52,51.0
168,129,52,51.0
238,160,59,57.99999999999999
221,182,55,54.0
270,226,56,55.0
190,138,51,50.0
218,177,55,54.0
301,185,59,58.0
287,254,60,59.0
228,195,63,62.0
200,144,51,50.0
260,197,53,52.0
346,280,56,55.0
166,155,53,52.0
