Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
269,184,56,55.0
551,301,64,63.0
261,124,54,53.0
326,177,60,59.0
297,227,61,60.0
327,241,53,52.0
187,147,52,51.0
275,179,59,58.0
171,150,55,54.0
354,188,67,66.0
232,180,54,53.0
231,151,54,53.0
260,156,55,54.0
279,163,53,52.0
240,151,59,58.0
271,186,58,57.0
383,250,58,57.0
201,142,55,54.0
316,189,54,53.0
309,197,57,56.0
244,185,52,51.0
411,291,55,54.0
213,127,54,53.0
226,125,53,52.0
336,189,59,58.0
377,235,61,60.0
516,370,60,59.0
305,226,55,54.0
261,192,58,57.0
268,191,55,54.0
372,215,55,54.0
202,126,53,52.0
246,132,54,52.99999999999999
298,175,54,53.0
330,235,55,54.0
416,211,64,63.0
279,204,60,59.0
317,199,53,52.0
301,221,57,56.0
255,164,57,56.0
379,265,61,60.0
269,204,60,59.0
392,262,58,57.0
280,184,59,58.0
352,270,59,58.0
294,215,61,60.0
241,141,63,62.0
489,284,55,54.0
334,174,54,53.0
199,142,56,55.0
189,135,53,51.99999999999999
209,129,55,54.0
335,238,62,61.0
275,156,56,54.99999999999999
296,197,54,53.0
473,276,66,65.0
247,177,59,58.0
390,248,58,57.0
275,154,55,54.0
247,174,59,58.0
302,210,55,54.0
324,191,55,54.0
606,266,60,59.0
310,219,52,51.0
279,161,57,56.0
334,211,56,54.99999999999999
471,334,56,54.99999999999999
262,145,56,55.0
298,217,61,60.0
358,201,58,57.0
281,178,56,55.0
174,142,57,55.99999999999999
376,243,54,53.0
276,161,59,58.0
314,186,54,53.0
270,136,53,52.0
237,139,54,53.0
310,208,52,51.0
221,133,51,50.0
304,165,59,58.0
223,157,54,53.0
487,321,52,51.0
353,273,61,60.0
416,224,57,56.0
228,154,58,57.0
287,218,59,58.0
318,215,55,53.99999999999999
247,178,54,53.0
432,238,68,67.0
288,137,60,59.0
377,224,64,63.0
378,144,55,54.0
295,204,53,52.0
312,235,55,54.0
216,134,56,55.0
267,146,56,55.0
290,203,53,52.0
311,201,61,60.0
218,133,52,51.0
236,149,56,55.0
306,193,58,57.0
265,200,55,54.0
262,155,54,53.0
477,267,66,65.0
341,210,55,54.0
189,146,58,57.0
232,128,52,51.0
398,255,62,61.0
219,136,57,56.0
321,166,56,55.0
285,177,55,54.0
370,181,61,60.0
265,158,58,57.0
230,181,54,53.0
234,156,53,52.0
323,212,64,63.0
316,178,55,54.0
311,217,59,58.0
374,227,60,59.0
282,177,54,53.0
288,197,56,55.0
216,178,51,50.0
320,232,58,57.0
239,173,61,60.0
385,275,57,56.0
223,154,57,56.0
290,161,55,53.99999999999999
212,120,52,51.0
308,205,57,56.0
223,134,53,52.0
256,161,55,54.0
155,111,51,50.0
296,213,63,62.0
365,270,54,53.0
243,178,60,59.0
461,193,55,54.0
279,186,62,61.0
351,193,55,54.0
218,150,58,57.0
411,224,61,60.0
314,174,62,61.0
395,176,55,54.0
499,310,54,53.0
253,156,54,53.0
359,172,56,55.0
280,136,55,53.99999999999999
293,131,56,55.0
309,215,54,53.0
311,222,64,63.0
254,162,56,55.0
311,173,53,52.0
463,335,56,55.0
417,300,67,66.0
387,287,58,57.0
422,215,54,53.0
343,251,58,57.0
250,151,58,57.0
394,227,59,58.0
279,216,60,59.0
288,211,59,58.0
214,171,52,51.0
237,176,60,59.0
325,179,53,52.0
438,231,64,63.0
295,183,60,59.0
272,152,58,57.0
182,130,58,57.0
217,138,52,51.0
283,173,60,59.0
391,202,63,62.0
190,110,51,50.0
251,164,55,54.0
259,178,54,53.0
285,166,60,59.0
436,280,63,62.0
295,155,55,54.0
413,285,52,51.0
435,305,68,67.0
248,197,59,57.99999999999999
255,181,57,56.0
304,154,57,56.0
289,150,54,53.0
320,216,57,56.0
196,129,57,56.0
379,213,55,54.0
249,160,58,57.0
254,195,61,60.0
273,156,55,54.0
329,242,54,53.0
259,170,54,53.0
297,144,57,56.0
233,167,54,53.0
256,192,58,56.99999999999999
237,147,63,62.0
279,202,55,54.0
269,137,54,53.0
496,311,66,65.0
235,156,55,54.0
239,169,56,55.0
367,226,57,56.0
354,201,61,60.0
347,196,67,66.0
298,198,53,52.0
181,125,55,54.0
276,186,53,52.0
432,261,71,70.0
243,148,53,52.0
158,108,53,52.0
229,173,53,52.0
314,182,55,54.0
390,181,59,58.0
372,279,58,57.0
320,200,55,54.0
311,221,63,61.99999999999999
321,220,60,59.0
238,147,54,53.0
460,266,72,71.0
322,228,54,53.0
288,188,62,61.0
288,184,62,60.99999999999999
175,124,55,54.0
275,183,65,64.0
316,216,60,59.0
267,172,55,54.0
236,169,54,53.0
388,254,58,57.0
417,284,62,61.0
289,181,53,52.0
245,182,56,55.0
357,205,52,51.0
368,218,66,65.0
270,152,56,54.99999999999999
294,203,56,55.0
392,187,53,52.0
275,186,58,57.0
260,155,58,56.99999999999999
271,201,51,50.0
399,202,65,63.99999999999999
585,336,59,58.00000000000001
423,285,54,53.0
385,280,64,63.0
235,172,53,51.99999999999999
358,249,65,63.99999999999999
370,249,55,53.99999999999999
275,166,53,52.0
203,162,54,53.0
236,136,53,52.0
227,112,54,53.0
386,273,67,66.0
206,144,58,57.0
307,222,62,60.99999999999999
289,182,53,52.0
231,154,54,53.00000000000001
