Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
524,434,53,52.0
606,371,63,62.0
586,350,65,64.0
1497,1095,65,64.0
1001,796,63,62.0
673,520,58,57.0
416,345,60,59.0
822,638,62,61.0
903,710,59,58.0
1317,989,61,60.0
413,330,54,53.0
913,708,60,59.0
940,734,67,66.0
523,397,55,54.0
689,530,60,59.0
800,660,57,56.0
561,438,67,66.0
1029,820,58,57.0
579,454,66,65.0
577,424,56,55.0
678,535,65,64.0
785,590,59,58.0
970,728,62,61.0
624,462,55,54.0
625,455,61,60.0
696,463,71,70.0
529,406,55,54.0
1829,1525,60,59.0
784,530,69,68.0
504,405,59,58.0
695,536,58,56.999999999999986
1206,952,60,59.0
699,509,57,56.0
510,316,60,59.0
799,648,61,59.99999999999999
769,598,56,55.0
828,648,59,58.0
629,531,59,58.0
643,489,61,60.0
335,280,56,55.0
1617,1182,78,77.0
532,441,65,64.0
456,385,55,54.0
663,516,64,63.0
1141,990,58,57.0
553,393,63,61.99999999999999
457,377,55,54.0
409,294,59,58.0
841,658,68,67.0
1395,1134,62,60.99999999999999
730,602,59,58.0
595,457,61,60.0
446,311,57,56.0
1492,1211,62,60.99999999999999
691,361,61,60.0
815,710,58,57.0
370,238,58,57.0
775,589,57,56.0
562,331,64,63.0
559,375,60,59.0
422,356,57,56.0
416,344,55,54.0
487,402,61,59.99999999999999
360,307,56,55.0
573,375,54,53.0
446,338,57,56.0
1067,877,63,62.0
811,555,64,63.0
591,458,58,57.0
753,620,58,57.0
684,458,63,62.0
364,186,65,64.0
704,564,53,52.0
1512,1245,60,59.0
490,376,57,56.0
313,253,56,55.0
637,490,58,57.0
1382,1141,65,64.0
489,393,56,54.99999999999999
481,403,56,55.0
690,513,59,58.0
444,285,58,57.0
555,417,54,53.0
551,421,58,57.0
547,442,53,52.0
526,391,56,54.99999999999999
763,649,56,55.0
512,359,59,58.0
606,480,55,54.0
607,433,59,58.0
893,768,58,57.0
405,293,57,56.0
726,548,65,64.0
459,304,59,58.0
1150,950,59,58.0
806,689,58,56.99999999999999
1254,1053,58,57.0
399,333,54,53.0
573,420,58,57.0
1207,995,58,57.0
579,435,63,62.0
860,690,60,58.99999999999999
859,664,59,58.0
1287,1123,60,59.0
1078,909,55,53.99999999999999
488,374,56,55.0
485,385,55,54.0
942,742,74,73.0
427,350,58,57.0
472,376,57,56.0
725,606,58,57.0
906,745,59,58.0
688,535,59,58.0
503,298,61,60.0
536,453,59,58.0
503,356,57,56.0
428,307,55,54.0
603,482,59,58.0
