Number of Iterations,Total Nodes,Nodes in Actual Path,Path Length
846,766,56,55.0
453,405,60,59.0
572,505,60,59.0
931,816,55,54.0
554,485,60,59.0
691,631,56,54.99999999999999
842,671,63,62.0
640,563,59,58.0
922,828,59,57.99999999999999
1013,927,62,61.0
774,689,62,61.0
394,330,55,54.0
526,485,54,53.0
419,374,58,57.0
353,298,58,57.0
392,321,59,58.0
1286,1185,64,63.0
929,822,53,52.0
836,740,60,59.0
761,705,59,58.0
258,206,53,52.0
361,298,57,56.0
1263,1169,61,60.0
314,255,57,56.0
723,678,56,54.99999999999999
1314,1193,61,60.0
485,457,57,56.0
846,737,58,57.0
736,651,60,59.0
593,485,56,54.99999999999999
346,307,60,59.0
1018,910,71,70.0
728,662,58,57.0
561,486,61,60.0
476,399,58,57.0
571,523,61,59.99999999999999
780,692,59,58.0
1337,1184,60,59.0
681,624,57,56.0
966,848,61,60.0
371,317,56,55.0
425,360,56,55.0
612,562,59,58.0
1098,1028,57,56.0
372,349,58,57.0
423,364,59,58.0
1618,1516,65,64.0
1788,1652,61,60.0
400,356,56,55.0
1278,1151,61,60.0
1278,1136,62,61.0
873,759,65,64.0
364,314,55,54.0
1494,1290,61,60.0
607,525,62,61.0
799,720,62,61.0
1319,1198,58,57.0
580,514,55,54.0
598,540,55,54.0
484,408,55,54.0
303,267,58,57.0
654,571,62,61.0
1076,1011,60,58.99999999999999
1106,1007,69,68.0
426,384,59,58.0
456,432,53,52.0
655,592,63,62.0
517,453,57,56.0
1261,1176,60,59.0
773,678,64,62.99999999999999
483,435,57,55.99999999999999
829,771,58,57.0
1198,1092,59,58.0
752,672,59,58.0
797,598,59,58.0
1258,1160,59,58.0
1078,943,62,61.0
421,353,55,54.0
1357,1260,57,56.0
818,681,61,60.0
576,525,53,52.00000000000001
766,713,61,59.99999999999999
507,426,55,54.0
637,573,59,57.99999999999999
777,707,57,56.0
429,353,60,59.0
351,256,60,58.999999999999986
1289,1112,56,55.0
541,436,59,58.0
815,742,54,53.0
530,439,62,61.0
610,536,61,60.0
759,633,59,58.0
597,488,64,63.0
582,508,61,60.0
559,489,55,54.0
625,565,61,60.0
696,650,54,52.99999999999999
634,554,61,60.0
581,518,59,58.0
923,829,63,62.0
999,925,58,57.0
402,367,56,55.0
2027,1846,58,56.99999999999999
456,392,54,53.0
1122,1023,54,53.0
1710,1580,53,52.0
549,491,64,63.0
581,495,63,62.0
395,327,56,55.0
938,855,56,55.0
942,843,57,56.0
2561,2268,63,62.0
365,313,60,59.0
353,316,54,53.0
1200,1104,62,61.0
880,751,66,65.0
660,620,58,57.00000000000001
739,693,63,62.0
538,435,62,61.0
396,358,55,53.99999999999999
576,484,63,62.0
447,377,59,58.0
376,282,55,54.0
712,658,59,58.0
488,449,57,56.0
1280,1151,58,57.0
1142,1047,59,58.0
614,515,59,57.999999999999986
500,467,56,55.0
521,481,53,52.0
731,658,60,58.99999999999999
951,820,66,64.99999999999999
1358,1183,57,56.0
573,485,62,61.0
330,295,57,56.0
416,366,62,61.0
537,483,56,55.0
800,686,53,52.0
617,540,57,56.0
808,667,61,60.0
865,779,57,56.0
388,350,58,57.0
1236,1135,58,57.0
420,393,55,54.0
622,520,65,63.99999999999999
1373,1209,63,62.0
393,324,56,55.0
906,831,57,56.0
1216,1127,55,53.99999999999999
667,591,58,57.0
679,583,57,56.0
569,459,62,60.99999999999999
423,384,54,53.0
833,756,57,55.99999999999999
747,646,58,57.0
603,521,62,61.0
667,572,63,62.0
244,212,57,56.0
594,535,55,54.0
774,652,66,65.0
930,808,67,66.0
866,755,66,65.0
632,536,57,56.0
396,264,54,53.0
488,371,56,54.99999999999999
292,240,56,55.0
616,550,55,54.0
576,457,61,59.99999999999999
469,430,53,52.0
383,339,59,58.0
583,520,59,58.0
499,432,55,54.0
589,457,54,53.0
703,647,56,54.99999999999999
451,397,58,57.0
479,435,55,54.0
588,540,60,59.0
1150,1054,65,64.0
371,293,66,65.0
561,500,62,61.0
494,430,60,59.0
306,270,57,56.0
1199,1132,57,56.0
653,450,59,58.0
339,298,63,62.0
484,423,58,57.0
477,425,54,53.0
639,587,52,51.0
414,362,61,60.00000000000001
928,839,61,60.0
619,532,58,57.0
1064,970,64,63.0
532,473,59,58.0
670,599,58,57.0
712,608,58,57.0
1499,1387,63,62.0
548,470,58,57.0
741,632,54,53.0
907,781,59,57.99999999999999
573,507,60,58.99999999999999
1521,1349,58,57.0
770,686,60,59.0
685,593,69,68.0
380,347,56,55.0
449,386,58,57.0
561,478,61,60.00000000000001
750,709,54,53.0
453,383,56,55.0
385,349,58,57.0
582,533,56,55.0
926,693,70,69.0
477,426,61,60.0
329,268,60,59.0
958,841,61,60.0
510,407,55,54.0
426,367,54,53.0
878,715,60,59.0
292,232,57,56.0
587,541,58,57.0
1644,1541,60,58.99999999999999
438,404,62,61.0
705,636,60,59.0
329,274,54,53.0
650,594,55,54.0
656,586,60,59.0
487,432,53,52.0
709,647,62,60.99999999999999
590,472,62,61.0
541,489,58,57.0
578,525,56,55.0
408,339,58,57.0
437,339,59,58.0
956,793,56,55.0
885,827,64,63.0
484,461,53,52.0
853,720,57,56.0
469,415,58,56.99999999999999
847,766,62,61.0
1125,1050,57,55.99999999999999
679,590,54,53.0
646,537,51,50.0
413,358,60,59.0
672,563,64,63.0
916,839,58,57.0
1217,1077,66,64.99999999999999
483,441,54,53.0
481,435,59,58.0
497,431,63,62.0
1127,1054,60,58.99999999999999
1197,1097,60,59.0
529,448,59,58.0
374,300,56,55.0
571,513,64,63.0
321,253,55,53.99999999999999
404,320,56,55.0
974,891,55,54.0
772,700,66,65.0
303,282,54,53.0
598,564,56,55.0
749,670,66,65.0
298,276,55,54.0
491,427,58,57.0
681,580,58,57.0
623,563,60,59.0
671,571,56,55.0
533,479,56,55.0
629,554,55,54.0
709,607,57,56.0
366,300,57,56.0
272,222,55,54.0
674,599,58,57.0
1135,1050,60,59.0
415,360,59,57.999999999999986
343,242,55,54.0
426,363,58,56.99999999999999
1908,1792,63,62.0
826,734,65,64.0
514,444,56,55.0
944,813,64,63.0
700,624,61,60.0
1001,922,58,56.99999999999999
769,685,63,61.99999999999999
372,316,59,58.0
671,614,53,52.0
789,673,75,74.0
636,509,60,59.0
770,675,59,58.0
548,500,60,59.0
344,319,59,58.0
451,355,60,59.0
314,267,54,53.0
525,476,61,60.0
458,393,58,57.0
490,441,54,53.0
671,592,54,53.0
904,835,53,52.0
466,416,55,54.0
468,411,54,52.999999999999986
1653,1437,67,66.0
557,498,58,57.0
452,400,59,58.0
550,508,56,55.0
1042,923,62,61.0
521,460,56,55.0
1619,1406,54,53.0
518,483,59,58.0
566,482,60,59.0
590,478,62,60.99999999999999
424,367,59,58.0
749,688,54,53.0
424,347,55,54.0
445,391,57,55.99999999999999
399,360,56,55.0
806,708,59,58.0
434,345,58,57.0
990,894,60,59.0
802,668,60,59.0
628,558,58,57.0
1306,1200,61,60.0
525,439,60,59.0
609,489,59,58.0
426,373,57,55.99999999999999
452,418,56,55.0
310,261,53,52.0
933,825,60,59.0
1010,966,55,54.0
338,302,56,55.0
380,328,54,53.0
713,623,63,62.0
629,530,62,61.0
744,690,56,55.0
771,660,55,54.0
918,854,58,57.0
1481,1339,59,58.0
658,590,64,62.99999999999999
1006,903,62,61.0
894,779,72,71.0
893,773,55,54.0
219,194,55,54.0
1582,1423,65,64.0
1001,900,62,61.0
550,475,62,61.0
415,388,59,58.0
722,677,56,55.0
372,317,61,59.99999999999999
1085,941,57,56.0
572,470,56,55.0
1154,1057,62,61.0
542,438,55,54.0
798,728,63,62.0
834,759,54,53.0
1944,1805,56,55.0
1019,879,56,55.00000000000001
644,598,55,54.0
485,404,56,55.0
356,320,57,56.0
1259,1184,52,51.0
1255,1124,61,60.0
846,769,60,59.0
528,483,55,54.0
355,320,57,56.0
486,422,61,60.0
921,845,56,55.0
1268,1144,66,65.0
788,673,60,59.0
478,414,59,58.0
251,208,57,56.0
633,573,53,52.0
1000,898,60,59.0
715,636,58,57.0
555,491,56,55.0
1227,1136,62,61.0
1045,934,58,57.0
608,545,56,55.0
627,524,56,55.0
729,639,62,61.0
349,334,54,53.0
346,324,52,51.0
438,390,58,57.0
336,310,54,53.0
367,312,59,58.0
562,484,61,59.99999999999999
396,361,54,53.0
1019,835,67,66.0
630,547,59,58.0
424,350,57,56.0
491,438,54,53.0
506,449,58,57.0
281,247,56,55.0
716,628,57,56.0
843,759,57,56.0
1514,1356,62,61.0
612,548,64,63.0
533,465,58,57.0
661,592,57,56.0
929,848,60,59.0
595,544,59,58.0
713,611,71,70.0
493,412,56,55.0
687,608,55,54.0
428,381,56,55.0
375,311,55,53.99999999999999
849,775,60,59.0
597,551,55,54.0
1247,1143,55,54.0
909,758,60,59.0
732,671,55,54.0
1399,1257,58,57.0
927,819,66,65.0
1345,1232,57,56.0
365,321,55,54.0
705,645,57,56.0
321,273,59,58.0
684,637,63,62.0
671,629,62,60.99999999999999
427,359,60,59.0
386,298,53,52.0
731,670,59,57.99999999999999
1312,1206,62,61.0
485,372,57,56.0
791,613,56,55.0
1160,1043,65,64.0
535,441,62,61.0
813,779,64,63.0
464,349,56,55.0
1174,1033,69,67.99999999999999
456,409,56,55.0
545,475,58,56.99999999999999
869,757,56,55.0
614,558,64,63.0
825,724,59,58.0
425,358,61,60.0
574,525,57,56.0
799,697,56,55.0
656,549,59,58.0
275,241,54,53.0
660,606,56,55.0
427,368,58,57.0
534,485,63,62.0
758,700,58,56.99999999999999
465,417,59,57.99999999999999
1076,1006,53,51.99999999999999
760,622,56,55.0
766,682,55,54.0
615,546,58,57.0
607,511,60,59.0
598,542,51,50.0
840,782,60,59.0
828,722,57,55.99999999999999
474,340,58,57.0
432,338,64,63.0
932,846,64,62.99999999999999
392,327,55,54.0
